Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
P168_A06053_w25.0h,post-vaccination blood sample from animal A06053 at w25.w25h,US93503719_254853410145_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06053,Macaca mulatta,A06053,ALV-SIV,4,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_A06072_w4.0h,post-vaccination blood sample from animal A06072 at w4.w4h,US93503719_254853410145_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06072,Macaca mulatta,A06072,NYV-SIV,1,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
Control.36,Control,US93503719_254853410145_S01_GE1_107_Sep09_2_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06024_w12.0h,post-vaccination blood sample from animal A06024 at w12.w12h,US93503719_254853410145_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06024,Macaca mulatta,A06024,NYV-Control,NA,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-Control,GPL17463
P168_A06055_w5.0h,post-vaccination blood sample from animal A06055 at w5.w5h,US93503719_254853410146_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
P168_A06072_w2.0h,post-vaccination blood sample from animal A06072 at w2.w2h,US93503719_254853410146_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06072,Macaca mulatta,A06072,NYV-SIV,1,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with NYV-SIV,GPL17463
Control.13,Control,US93503719_254853410146_S01_GE1_107_Sep09_1_3.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06089_w1.0h,post-vaccination blood sample from animal A06089 at w1.w1h,US93503719_254853410146_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06089,Macaca mulatta,A06089,NYV-SIV,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_A06053_w4.0h,post-vaccination blood sample from animal A06053 at w4.w4h,US93503719_254853410146_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06053,Macaca mulatta,A06053,ALV-SIV,4,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-SIV,GPL17463
P168_A06034_w12.6h,post-vaccination blood sample from animal A06034 at w12.w12h,US93503719_254853410146_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-SIV,GPL17463
P168_A06071_w14.0h,post-vaccination blood sample from animal A06071 at w14.w14h,US93503719_254853410146_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06071,Macaca mulatta,A06071,NYV-SIV,3,w14.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w14.0h after vaccination with NYV-SIV,GPL17463
P168_A06055_w12.0h,post-vaccination blood sample from animal A06055 at w12.w12h,US93503719_254853410146_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_A06070_w12.24h,post-vaccination blood sample from animal A06070 at w12.w12h,US93503719_254853410147_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with ALV-Control,GPL17463
P168_A06042_w25.0h,post-vaccination blood sample from animal A06042 at w25.w25h,US93503719_254853410147_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06042,Macaca mulatta,A06042,ALV-SIV,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
P168_A06016_w4.0h,post-vaccination blood sample from animal A06016 at w4.w4h,US93503719_254853410147_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06016,Macaca mulatta,A06016,ALV-Control,2,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-Control,GPL17463
P168_A06055_w24.24h,post-vaccination blood sample from animal A06055 at w24.w24h,US93503719_254853410147_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_A06070_w4.0h,post-vaccination blood sample from animal A06070 at w4.w4h,US93503719_254853410147_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-Control,GPL17463
P168_A06015_w12.0h,post-vaccination blood sample from animal A06015 at w12.w12h,US93503719_254853410147_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06015,Macaca mulatta,A06015,NYV-SIV,4,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_A06034_w2.0h,post-vaccination blood sample from animal A06034 at w2.w2h,US93503719_254853410147_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-SIV,GPL17463
P168_A06049_w1.0h,post-vaccination blood sample from animal A06049 at w1.w1h,US93503719_254853410147_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06049,Macaca mulatta,A06049,NYV-SIV,6,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_R772_w1.0h,post-vaccination blood sample from animal R772 at w1.w1h,US93503719_254853410562_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_P397_w0.0h,pre-vaccination blood sample from animal P397 at w0.w0h,US93503719_254853410562_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_R770_w12.6h,post-vaccination blood sample from animal R770 at w12.w12h,US93503719_254853410562_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
Control.24,Control,US93503719_254853410562_S01_GE1_107_Sep09_1_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_R766_w12.24h,post-vaccination blood sample from animal R766 at w12.w12h,US93503719_254853410562_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_R773_w4.0h,post-vaccination blood sample from animal R773 at w4.w4h,US93503719_254853410562_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_P397_w26.0h,post-vaccination blood sample from animal P397 at w26.w26h,US93503719_254853410562_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_R769_w1.0h,post-vaccination blood sample from animal R769 at w1.w1h,US93503719_254853410562_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_R772_w12.6h,post-vaccination blood sample from animal R772 at w12.w12h,US93503719_254853410563_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_R766_w26.0h,post-vaccination blood sample from animal R766 at w26.w26h,US93503719_254853410563_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
P168_R770_w4.0h,post-vaccination blood sample from animal R770 at w4.w4h,US93503719_254853410563_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_R770_w24.24h,post-vaccination blood sample from animal R770 at w24.w24h,US93503719_254853410563_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_R772_w4.6h,post-vaccination blood sample from animal R772 at w4.w4h,US93503719_254853410563_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with NYV-SIV,GPL17463
P168_R772_w12.24h,post-vaccination blood sample from animal R772 at w12.w12h,US93503719_254853410563_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_R766_w25.0h,post-vaccination blood sample from animal R766 at w25.w25h,US93503719_254853410563_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R766,Macaca mulatta,R766,NYV-SIV,5,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R772_w12.0h,post-vaccination blood sample from animal R772 at w12.w12h,US93503719_254853410563_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with NYV-SIV,GPL17463
P168_R764_w12.0h,post-vaccination blood sample from animal R764 at w12.w12h,US93503719_254853410564_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R764,Macaca mulatta,R764,ALV-Control,3,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-Control,GPL17463
P168_R771_w1.0h,post-vaccination blood sample from animal R771 at w1.w1h,US93503719_254853410564_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-Control,GPL17463
P168_R774_w12.6h,post-vaccination blood sample from animal R774 at w12.w12h,US93503719_254853410564_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with ALV-Control,GPL17463
P168_R794_w2.0h,post-vaccination blood sample from animal R794 at w2.w2h,US93503719_254853410564_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal R794,Macaca mulatta,R794,ALV-Control,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_R774_w12.0h,post-vaccination blood sample from animal R774 at w12.w12h,US93503719_254853410564_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-Control,GPL17463
P168_R817_w25.0h,post-vaccination blood sample from animal R817 at w25.w25h,US93503719_254853410564_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-Control,GPL17463
P168_R764_w2.0h,post-vaccination blood sample from animal R764 at w2.w2h,US93503719_254853410564_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R764,Macaca mulatta,R764,ALV-Control,3,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_R771_w4.0h,post-vaccination blood sample from animal R771 at w4.w4h,US93503719_254853410564_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R771,Macaca mulatta,R771,ALV-Control,1,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-Control,GPL17463
P168_R774_w2.0h,post-vaccination blood sample from animal R774 at w2.w2h,US93503719_254853410565_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w2.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w2.0h after vaccination with ALV-Control,GPL17463
P168_R817_w4.6h,post-vaccination blood sample from animal R817 at w4.w4h,US93503719_254853410565_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R817,Macaca mulatta,R817,ALV-Control,2,w4.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.6h after vaccination with ALV-Control,GPL17463
P168_P403_w1.0h,post-vaccination blood sample from animal P403 at w1.w1h,US93503719_254853410565_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with ALV-Control,GPL17463
P168_R774_w5.0h,post-vaccination blood sample from animal R774 at w5.w5h,US93503719_254853410565_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal R774,Macaca mulatta,R774,ALV-Control,1,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-Control,GPL17463
P168_R764_w0.24h,post-vaccination blood sample from animal R764 at w0.w0h,US93503719_254853410565_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R764,Macaca mulatta,R764,ALV-Control,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
P168_P403_w4.0h,post-vaccination blood sample from animal P403 at w4.w4h,US93503719_254853410565_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal P403,Macaca mulatta,P403,ALV-Control,3,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with ALV-Control,GPL17463
Control.5,Control,US93503719_254853410565_S01_GE1_107_Sep09_2_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_P397_w4.0h,post-vaccination blood sample from animal P397 at w4.w4h,US93503719_254853410566_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w4.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w4.0h after vaccination with NYV-SIV,GPL17463
P168_R773_w5.0h,post-vaccination blood sample from animal R773 at w5.w5h,US93503719_254853410566_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal R773,Macaca mulatta,R773,NYV-SIV,3,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with NYV-SIV,GPL17463
P168_R769_w24.24h,post-vaccination blood sample from animal R769 at w24.w24h,US93503719_254853410566_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_P397_w1.0h,post-vaccination blood sample from animal P397 at w1.w1h,US93503719_254853410566_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w1.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w1.0h after vaccination with NYV-SIV,GPL17463
P168_P397_w24.24h,post-vaccination blood sample from animal P397 at w24.w24h,US93503719_254853410566_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal P397,Macaca mulatta,P397,NYV-SIV,5,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_R770_w0.24h,post-vaccination blood sample from animal R770 at w0.w0h,US93503719_254853410566_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_R772_w24.24h,post-vaccination blood sample from animal R772 at w24.w24h,US93503719_254853410566_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal R772,Macaca mulatta,R772,NYV-SIV,2,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-SIV,GPL17463
P168_R769_w25.0h,post-vaccination blood sample from animal R769 at w25.w25h,US93503719_254853410566_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal R769,Macaca mulatta,R769,NYV-SIV,3,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-SIV,GPL17463
P168_R770_w26.0h,post-vaccination blood sample from animal R770 at w26.w26h,US93503719_254853410567_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal R770,Macaca mulatta,R770,NYV-SIV,4,w26.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w26.0h after vaccination with NYV-SIV,GPL17463
